"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date","foundyear"
"4748","Pavad Medical","Health Care","Fremont, California, United States","Operating","","2002-01-01",NA,"Medical Device, Health Care, Medical","",0,3,"2007-09-04",1.6e+07,"Series C",1.6e+07,23500000,23550000,2,0,"","","","","",-10
"4750","Presella.com","Media and Entertainment, Events, Financial Services","Beirut, Beyrouth, Lebanon","Operating","","2012-08-31",6,"Ticketing, Events, Concerts, Crowdfunding","1-10",4,3,"2015-02-01",30000,"Seed",30000,406500,406500,4,0,"","","","","",0
"4751","POLYGLOTS, Inc.","Education","Tokyo, Tokyo, Japan","Operating","","2014-05-28",NA,"Education, Language Learning","",1,3,"2015-03-31",2e+05,"Seed",2e+05,550000,550000,2,0,"","","","","",2
"4752","Priori Data","Data and Analytics, Mobile","Berlin, Berlin, Germany","Operating","","2013-06-01",35,"Big Data, Mobile, Analytics","11-50",1,3,"2015-09-30",0,"Seed",0,0,0,NA,NA,"","","","","",1
"4759","phorus","Hardware, Consumer Electronics, Mobile","Encino, California, United States","Operating","","2010-01-01",2,"Mobile, Mobile Devices, Wireless","501-1000",0,3,"2011-11-09",2e+06,"Series A",2e+06,2e+06,2175000,NA,NA,"","","","","",-2
"4760","PromoRepublic","Sales and Marketing, Internet Services, Advertising","Helsinki, Southern Finland, Finland","Operating","","2012-01-01",12,"Social Media Management, Advertising, B2B, Small and Medium Businesses, SaaS","11-50",3,10,"2017-01-23",0,"Seed",0,796986,826986,14,1,"","","","","",0
"4761","PrintEco","Hardware, Sustainability, Consumer Electronics","Champaign, Illinois, United States","Operating","","2010-01-01",3,"Computer, Waste Management, GreenTech","11-50",2,4,"2013-09-20",0,"Convertible Note",0,150006,150006,1,0,"","","","","",-2
"4767","Phenix Groupe","Sales and Marketing, Mobile, Advertising","Levallois, Ile-de-France, France","Operating","","2013-09-01",3,"Mobile, Outdoor Advertising, Brand Marketing","251-500",1,4,"2017-04-03",0,"Private Equity",0,16996682,16996682,3,0,"","","","","",1
"4815","Paytailor","Software, Payments, Financial Services, Mobile","Tallinn, Harjumaa, Estonia","Operating","","2014-01-01",NA,"Payments, Software, Mobile Payments","",4,3,"2016-11-17",0,"Seed",0,97130,97130,NA,NA,"","","","","",2
"5133","Qumulo","Hardware, Data and Analytics, Software","Seattle, Washington, United States","Operating","","2012-01-01",74,"Enterprise Software, Big Data, Data Storage","101-250",3,5,"2017-04-04",3e+07,"Series C",3e+07,129300000,129300000,11,4,"","","","","",0
"5137","Quad Learning","Information Technology, Professional Services, Education","Washington, District of Columbia, United States","Operating","","2012-01-01",8,"Education, Recruiting, Management Information Systems","51-100",2,4,"2015-08-07",4832058,"Debt Financing",1e+07,2.1e+07,25832058,11,2,"","","","","",0
"5182","Rigetti Quantum Computing","Hardware, Data and Analytics, Software","Berkeley, California, United States","Operating","","2013-01-01",3,"Software, Hardware, Big Data","11-50",1,5,"2017-03-28",4e+07,"Series B",2.4e+07,69200000,69200000,28,3,"","","","","",1
"5184","ROLI","Hardware, Media and Entertainment, Music and Audio, Software, Internet Services","Dalston, Cumbria, United Kingdom","Operating","","2009-01-01",35,"Social Network, Software, Hardware, Musical Instruments, Developer Tools, Music","101-250",1,5,"2017-04-07",0,"Debt Financing",2.7e+07,43500000,43500000,15,5,"","","","","",-3
"5189","Reflektion","Commerce and Shopping, Data and Analytics, Software","San Mateo, California, United States","Operating","","2012-01-01",16,"Machine Learning, Big Data, E-Commerce, Personalization, Predictive Analytics","51-100",1,4,"2016-02-23",1.8e+07,"Series B",1.8e+07,27800000,29300000,6,3,"","","","","",0
"5194","RallyPoint","Media and Entertainment, Community and Lifestyle, Professional Services, Internet Services","Watertown, Massachusetts, United States","Operating","","2012-04-01",27,"Social Media, Social Network, Professional Networking","11-50",2,5,"2015-12-28",5e+06,"Series B",5e+06,11850000,11950000,5,2,"","","","","",0
"5195","Reach Robotics","Apps, Science and Engineering, Hardware, Consumer Electronics, Software","Bristol, Bristol, City of, United Kingdom","Operating","","2013-05-20",7,"Apps, Software, Augmented Reality, Robotics, Consumer Electronics","1-10",5,3,"2016-03-03",0,"Seed",0,250000,250000,9,0,"","","","","",1
"5200","Reachify","Information Technology, Software, Internet Services","New York, New York, United States","Operating","","2015-01-01",NA,"Enterprise Software, Information Technology, Internet","1-10",1,4,"2017-01-24",0,"Seed",0,250000,250000,6,2,"","","","","",3
"5202","Robo Wunderkind","Science and Engineering, Hardware, Consumer Electronics, Software, Consumer Goods","Vienna, Wien, Austria","Operating","","2013-01-01",9,"Consumer Electronics, Robotics, Children, Toys","1-10",2,4,"2016-09-20",5e+05,"Series Unknown",5e+05,956000,956000,6,1,"","","","","",1
"5203","Rufus Labs","Hardware, Consumer Electronics, Transportation","Los Angeles, California, United States","Operating","","2013-01-01",24,"Wearables, Electronics, Logistics, Consumer Electronics, Enterprise","",4,4,"2016-12-01",0,"Series Unknown",0,445000,445000,3,0,"","","","","",1
"5204","Repairly","Hardware, Consumer Electronics, Mobile","London, England, United Kingdom","Operating","","2015-09-01",4,"Mobile, Consumer Electronics","1-10",3,3,"2017-02-08",0,"Seed",0,495400,495400,6,0,"","","","","",3
"5212","Rabt","Media and Entertainment, Data and Analytics, Video, Mobile","New York, New York, United States","Operating","","2013-04-04",10,"Big Data, Mobile, Personalization, Video","1-10",3,3,"2015-06-15",325000,"Seed",325000,505000,665000,2,0,"","","","","",1
"5214","Rivanna Medical","Health Care","Crozet, Virginia, United States","Operating","","2010-01-01",12,"Health Care","11-50",2,3,"2016-08-26",3001350,"Series Unknown",3001350,3251726,3251726,1,1,"","","","","",-2
"5223","RxFunction, Inc.","Information Technology","Minneapolis, Minnesota, United States","Operating","","2010-05-17",NA,"Information Technology, Service Industry, Information Services","1-10",1,3,"2013-06-01",1153000,"Grant",2e+05,2e+05,1510000,NA,NA,"","","","","",-2
"5227","Redeemr","Media and Entertainment, Internet Services","San Francisco, California, United States","Closed","2013-04-01","2011-02-01",3,"Social Media, Digital Media, Online Portals","1-10",3,3,"2012-03-09",110000,"Debt Financing",50000,140000,250000,NA,NA,"","","","","",-1
"5234","Related Noise Inc.","Media and Entertainment, Internet Services","New York, New York, United States","Operating","","2014-03-24",NA,"Content, Web Hosting, Social Media","1-10",1,4,"2015-06-16",250000,"Angel",250000,1100000,1100000,1,1,"","","","","",2
"5251","Reshopper","Apps, Commerce and Shopping, Software, Mobile","Aarhus, Midtjylland, Denmark","Operating","","2012-09-28",2,"E-Commerce, Marketplace, Mobile Apps","1-10",4,3,"2017-01-11",0,"Angel",0,0,0,4,1,"","","","","",0
"5276","Restored Hearing","Hardware, Consumer Electronics, Health Care","Dublin, Dublin, Ireland","Operating","","2009-05-01",15,"Health Care, Electronics","1-10",2,4,"2014-12-01",0,"Grant",0,0,0,3,0,"","","","","",-3
"5440","Stratifyd","Information Technology, Data and Analytics, Software, Design","Charlotte, North Carolina, United States","Operating","","2015-01-15",2,"Analytics, Text Analytics, SaaS, Data Visualization, Machine Learning, Big Data","",1,4,"2016-01-31",0,"Angel",0,3027000,3027000,6,3,"","","","","",3
"5442","Securus Medical Group","Biotechnology, Science and Engineering","Cleveland, Ohio, United States","Closed","","2011-01-01",1,"Life Science, Biotechnology","",1,5,"2016-09-15",1e+07,"Series C",1e+07,18750000,18750000,7,4,"","","","","",-1
"5445","stickK","Internet Services, Financial Services, Lending and Investments","New York, New York, United States","Operating","","2007-07-01",9,"Finance, Web Hosting, Incubators","",2,3,"2009-09-01",875000,"Series A",875000,2225000,2225000,NA,NA,"","","","","",-5
"5446","SmallRivers","Apps, Media and Entertainment, Community and Lifestyle, Software, Content and Publishing","Lausanne, Vaud, Switzerland","Operating","","2008-01-01",5,"Communities, Apps, Blogging Platforms","",2,4,"2013-09-17",2e+06,"Series Unknown",2e+06,5100000,5100000,10,3,"","","","","",-4
"5806","SpaceX","Science and Engineering, Transportation","Hawthorne, California, United States","Operating","","2002-06-01",3159,"Space Travel, Transportation, Aerospace","1001-5000",1,7,"2015-01-20",1e+09,"Series E",1e+09,1145560000,1145560000,17,7,"","","","","",-10
"5807","Synack","Information Technology, Privacy and Security","Redwood City, California, United States","Operating","","2013-01-01",243,"Crowdsourcing, Security, Cyber Security, Network Security","51-100",2,5,"2017-04-11",21250000,"Series C",21250000,55250000,55250000,22,8,"","","","","",1
"5808","SeedInvest","Financial Services, Lending and Investments","New York, New York, United States","Operating","","2011-05-01",377,"Crowdfunding, Venture Capital","1-10",2,3,"2016-06-01",5125000,"Series Unknown",5125000,10375000,10375000,10,1,"","","","","",-1
"5809","SmartZip","Real Estate, Data and Analytics, Software, Sales and Marketing, Financial Services, Advertising","Pleasanton, California, United States","Operating","","2008-01-01",22,"Big Data, Advertising, Real Estate, Financial Services, Marketing Automation, SaaS, Predictive Analytics","101-250",3,5,"2016-08-31",1.2e+07,"Debt Financing",1.2e+07,18550000,30550000,11,3,"","","","","",-4
"5810","Swiftype","Commerce and Shopping, Software, Sales and Marketing, Internet Services","San Francisco, California, United States","Operating","","2012-01-01",39,"E-Commerce, Search Engine, SaaS, App Marketing, Knowledge Management, Enterprise Software, Open Source, Developer APIs","11-50",2,4,"2015-03-05",1.3e+07,"Series B",1.3e+07,22200000,22200000,19,3,"","","","","",0
"5811","Suiteness","Travel and Tourism, Media and Entertainment, Events, Community and Lifestyle","Oakland, California, United States","Operating","","2014-01-01",14,"Hotel, Reservations, Travel, Leisure","11-50",4,3,"2016-12-14",5e+06,"Series A",5e+06,6120000,6120000,11,4,"","","","","",2
"5816","Sindeo","Real Estate, Financial Services, Lending and Investments","San Francisco, California, United States","Operating","","2013-07-01",27,"Real Estate, Financial Services, Consumer Lending","51-100",3,3,"2016-04-19",0,"Seed",0,6500000,6500000,4,3,"","","","","",1
"5820","Speakaboos","Apps, Media and Entertainment, Software, Education, Content and Publishing","New York, New York, United States","Operating","","2008-01-01",13,"Education, Language Learning, Publishing, EdTech, Reading Apps","11-50",2,3,"2016-05-09",12500000,"Series B",12500000,25200000,25200000,18,5,"","","","","",-4
"5821","Simba Sleep","Commerce and Shopping, Information Technology, Software, Sales and Marketing, Mobile","London, England, United Kingdom","Operating","","2016-01-01",NA,"CRM, Customer Service, E-Commerce, Mobile","11-50",2,5,"2017-02-13",0,"Series Unknown",0,22409940,22409940,16,1,"","","","","",4
"5826","Soraa","Manufacturing, Hardware, Consumer Electronics","Fremont, California, United States","Operating","","2008-01-01",24,"Electronics, Manufacturing, Lighting","501-1000",3,4,"2013-01-31",8e+06,"Debt Financing",0,93600000,101600000,5,2,"","","","","",-4
"5830","SilverPush","Data and Analytics, Software, Sales and Marketing, Mobile, Advertising","Mountain View, California, United States","Operating","","2012-10-01",13,"Mobile, Ad Targeting, Advertising, Big Data, Software","51-100",3,5,"2015-09-23",1200000,"Series Unknown",1200000,2800000,2800000,8,2,"","","","","",0
"5831","Seedling","Commerce and Shopping, Community and Lifestyle","Los Angeles, California, United States","Operating","","2007-01-01",9,"Lifestyle, Children, Shopping","51-100",3,4,"2014-10-29",7e+06,"Series Unknown",7e+06,10600000,10600000,14,0,"","","","","",-5
"5832","Surgical Theater","Hardware, Software, Health Care","Cleveland, Ohio, United States","Operating","","2010-01-01",3,"Virtual Reality, Health Care, 3D Technology","11-50",2,3,"2015-10-19",9e+06,"Series A",9e+06,9625000,9625000,3,1,"","","","","",-2
"5838","Slidebean","Software","New York, New York, United States","Operating","","2013-06-01",12,"SaaS, Enterprise Software, Productivity Tools, Presentations","1-10",3,8,"2016-10-31",450000,"Seed",450000,930000,965000,11,2,"","","","","",1
"5844","Swapbox","Commerce and Shopping, Transportation","San Francisco, California, United States","Operating","","2012-02-01",8,"E-Commerce, Shipping, Logistics","1-10",2,4,"2015-05-01",2200000,"Seed",2200000,3e+06,3e+06,9,0,"","","","","",0
"5845","SpinGo","Media and Entertainment, Events","Draper, Utah, United States","Operating","","2012-01-07",11,"Events, Local","11-50",2,5,"2016-09-01",924997,"Series Unknown",924997,7924997,9964997,16,1,"","","","","",0
"5847","Spensa Technologies","Agriculture and Farming, Hardware","West Lafayette, Indiana, United States","Operating","","2009-01-01",5,"Agriculture, Hardware","11-50",1,4,"2015-11-09",2500000,"Series A",2500000,3850000,4480000,5,1,"","","","","",-3
"5854","Sand 9","Hardware, Mobile","Cambridge, Massachusetts, United States","Closed","2015-08-27","2007-06-01",5,"Mobile, Industrial, Wireless","11-50",1,6,"2014-03-17",4415363,"Debt Financing",3e+06,4.8e+07,52415363,10,7,"","","","","",-5
"5861","SeeVoov (GoBeenThere)","Travel and Tourism, Media and Entertainment, Information Technology, Data and Analytics, Software, Video","Ness Ziona, HaMerkaz, Israel","Operating","","2016-02-01",NA,"Machine Learning, Tourism, Travel, Information Technology, Video","1-10",2,3,"2017-01-26",2e+05,"Angel",2e+05,4e+05,4e+05,NA,NA,"","","","","",4
"5868","SMATOOS","Software, Education","Seoul, Seoul-t'ukpyolsi, South Korea","Operating","","2011-03-31",5,"EdTech, Education","11-50",1,4,"2016-03-02",0,"Funding Round",0,5989120,5989120,5,1,"","","","","",-1
"5871","Seelio","Software, Education","Ann Arbor, Michigan, United States","Operating","","2011-12-01",8,"Education, EdTech, E-Learning","11-50",2,4,"2013-10-11",6e+05,"Series Unknown",6e+05,1700000,2225000,11,0,"","","","","",-1
"5874","Synoste Oy","Biotechnology, Science and Engineering, Health Care","Espoo, Southern Finland, Finland","Operating","","2012-01-01",NA,"Biotechnology, Medical, Medical Device","1-10",2,3,"2016-01-21",0,"Series Unknown",0,5802480,5802480,6,4,"","","","","",0
"5875","Solstice Biologics","Biotechnology, Science and Engineering, Health Care","San Francisco, California, United States","Operating","","2012-01-01",5,"Medical, Therapeutics, Biotechnology","1-10",1,5,"2015-12-30",4e+06,"Series C",4e+06,4e+07,4e+07,2,1,"","","","","",0
"5887","SweetBio","Biotechnology, Science and Engineering","Memphis, Tennessee, United States","Operating","","2015-01-01",NA,"Biotechnology","1-10",3,3,"2016-08-16",275000,"Series Unknown",275000,1300000,1300000,3,2,"","","","","",3
"5894","Sensbeat","Media and Entertainment, Information Technology, Music and Audio, Community and Lifestyle, Internet Services, Mobile","Hong Kong, Hong Kong Island, Hong Kong","Operating","","2013-02-01",3,"Private Social Networking, Mobile, Information Services, Information Technology, Music, Social Media","1-10",3,3,"2014-10-10",5e+05,"Seed",5e+05,1041250,1041250,3,0,"","","","","",1
"5895","Streamweaver","Media and Entertainment, Software, Internet Services, Video, Mobile","Nashville, Tennessee, United States","Operating","","2011-01-01",11,"Social Media, Video, Software, Mobile","11-50",2,4,"2013-09-01",629996,"Series A",629996,3029994,3029994,5,1,"","","","","",-1
"5899","SmileyGo Corporation","Information Technology, Data and Analytics, Software, Sales and Marketing","San Francisco, California, United States","Operating","","2014-07-04",6,"Big Data, Machine Learning, CRM, SaaS","1-10",1,3,"2016-05-01",5000,"Grant",20000,30000,35000,3,0,"","","","","",2
"5907","Synappio","Information Technology, Software, Internet Services, Messaging and Telecommunications","Atlanta, Georgia, United States","Operating","","2013-01-01",1,"Email, Software","1-10",2,3,"2014-02-26",450000,"Seed",450000,495000,495000,4,0,"","","","","",1
"5913","Spiber","Biotechnology, Manufacturing, Science and Engineering","Tsuruoka, Yamagata, Japan","Operating","","2007-01-01",1,"Life Science, Biotechnology, Advanced Materials","101-250",0,7,"2016-10-01",2e+07,"Grant",8.4e+07,128090000,148090000,NA,NA,"","","","","",-5
"5914","Snapkin","Hardware, Real Estate, Software","Montpellier, Languedoc-Roussillon, France","Operating","","2013-08-21",3,"3D Technology, Real Estate, Architecture, Software, Smart Building","1-10",2,4,"2016-03-15",0,"Non-equity Assistance",0,432950,432950,8,0,"","","","","",1
"5916","ShowNearby","Apps, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","Singapore, Central Region, Singapore","Operating","","2007-11-20",26,"Mobile Apps, Enterprise Software, Location Based Services","11-50",2,5,"2011-01-04",5e+05,"Grant",3500000,3640000,4170000,4,1,"","","","","",-5
"5938","Style Jukebox","Media and Entertainment, Music and Audio, Software, Internet Services, Mobile","Timisoara, Timis, Romania","Operating","","2012-01-01",3,"Music, Mobile, Software, Cloud Computing, Audio","1-10",2,3,"2015-04-10",0,"Series Unknown",0,417277,417277,1,1,"","","","","",0
"5951","Solaiemes","Apps, Information Technology, Software, Mobile","Madrid, Madrid, Spain","Operating","","2006-10-01",3,"Mobile Apps, Mobile, Information Technology","11-50",3,3,"2012-07-25",0,"Angel",0,1122467,1122467,1,0,"","","","","",-6
"5975","Skoove","Media and Entertainment, Music and Audio, Education","Berlin, Berlin, Germany","Operating","","2014-08-30",2,"Music Education","1-10",2,3,"2017-03-09",0,"Series Unknown",0,1267494,1267494,4,2,"","","","","",2
"6022","Skive","Apps, Software, Professional Services, Education, Mobile","Berlin, Berlin, Germany","Operating","","2011-12-01",2,"Recruiting, Apps, EdTech, Mobile, Education","11-50",5,4,"2015-05-12",0,"Series A",0,0,0,8,0,"","","","","",-1
"6057","Sablono","Software","Berlin, Berlin, Germany","Operating","","2013-01-01",3,"Software","1-10",3,3,"2015-05-28",0,"Series Unknown",0,1322477,1322477,4,0,"","","","","",1
"6097","Spoqa","Sales and Marketing, Advertising","Seoul, Seoul-t'ukpyolsi, South Korea","Operating","","2011-05-20",16,"Advertising","11-50",4,5,"2016-05-01",0,"Series D",0,10472344,10472344,8,2,"","","","","",-1
"6109","SCARLETRED Holding GmbH","Biotechnology, Data and Analytics, Health Care","Vienna, Wien, Austria","Operating","","2014-07-27",NA,"Health Care, Quantified Self, Clinical Trials, Big Data","1-10",1,4,"2016-07-12",0,"Seed",0,1109340,1495510,2,0,"","","","","",2
"6673","Tech in Asia","Media and Entertainment, Content and Publishing","Singapore, Central Region, Singapore","Operating","","2010-08-01",1630,"News, Publishing","51-100",1,5,"2017-03-20",6e+06,"Series Unknown",6e+06,10390000,10390000,11,2,"","","","","",-2
"6675","TripleLift","Media and Entertainment, Data and Analytics, Sales and Marketing, Advertising","New York, New York, United States","Operating","","2012-01-09",76,"Analytics, Digital Media, Advertising","51-100",3,4,"2015-06-11",10500000,"Series B",10500000,16625000,16625000,17,5,"","","","","",0
"6676","Tiger Brokers","Internet Services, Financial Services, Lending and Investments","Beijin, Guangdong, China","Operating","","2014-01-01",NA,"FinTech, Stock Exchanges, Internet","",1,3,"2017-03-27",1.4e+07,"Series B",1.4e+07,58600000,58600000,6,4,"","","","","",2
"6677","Tracxn","Data and Analytics, Software","Palo Alto, California, United States","Operating","","2013-06-01",65,"Analytics, Enterprise Software, SaaS","101-250",2,4,"2016-02-17",0,"Series Unknown",0,13500000,13500000,8,4,"","","","","",1
"6678","TripleMint","Information Technology, Real Estate, Software, Sales and Marketing, Internet Services","New York, New York, United States","Operating","","2011-06-01",10,"CRM, Search Engine, Real Estate","11-50",2,8,"2017-02-23",4500000,"Series A",4500000,6190000,6190000,15,1,"","","","","",-1
"6679","Teem","Data and Analytics, Software, Messaging and Telecommunications, Mobile","Salt Lake City, Utah, United States","Operating","","2012-09-01",26,"Meeting Software, Mobile, Enterprise Software, SaaS, Collaboration, Business Intelligence, Developer Tools","101-250",3,3,"2016-08-17",13500000,"Series B",13500000,21500000,21500000,17,4,"","","","","",0
"6681","The Mobile Majority","Media and Entertainment, Data and Analytics, Sales and Marketing, Video, Mobile, Advertising","Santa Monica, California, United States","Operating","","2012-01-01",9,"Mobile, Big Data, Brand Marketing, Digital Media, Advertising, Advertising Platforms, Video, Ad Targeting","51-100",3,3,"2014-06-11",8e+06,"Series Unknown",8e+06,10340000,10340000,3,0,"","","","","",0
"6683","tadoÂ°","Energy, Sustainability, Consumer Electronics, Real Estate","Munich, Bayern, Germany","Operating","","2011-09-01",3,"Smart Building, Home Automation, Clean Energy","11-50",3,4,"2016-04-26",2.3e+07,"Series C",2.3e+07,56294621,56294621,9,1,"","","","","",-1
"6684","Trizic, Inc.","Software, Financial Services","San Francisco, California, United States","Operating","","2012-09-01",13,"Wealth Management, Software","11-50",0,5,"2017-02-12",3300000,"Seed",3300000,8300001,9025001,4,1,"","","","","",0
"6686","Trading Ticket","Software, Internet Services, Financial Services","New York, New York, United States","Operating","","2014-01-01",1,"Software, Finance, Internet","",3,3,"2017-02-17",3e+06,"Seed",3e+06,7e+06,7e+06,6,3,"","","","","",2
"6691","TuneGO","Software","Henderson, Nevada, United States","Operating","","2013-01-23",2,"Software","1-10",0,4,"2016-12-20",3600000,"Series A",3600000,5320446,5320446,NA,NA,"","","","","",1
"6692","Tookitaki","Media and Entertainment, Software, Sales and Marketing, Internet Services, Advertising","Singapore, Central Region, Singapore","Operating","","2012-01-01",11,"Advertising, Social Media, Marketing Automation","11-50",2,4,"2015-01-06",1e+06,"Seed",1e+06,1225000,1225000,13,2,"","","","","",0
"6693","Twisto Payments","Commerce and Shopping, Software, Payments, Financial Services, Lending and Investments, Mobile","Prague, Hlavni mesto Praha, Czech Republic","Operating","","2013-06-30",5,"Credit, FinTech, Risk Management, E-Commerce, Mobile Payments","11-50",1,5,"2015-12-01",2e+06,"Series A",2e+06,2e+06,2e+06,6,0,"","","","","",1
"6704","Transmetrics","Data and Analytics, Software, Transportation","Sofia, Grad Sofiya, Bulgaria","Operating","","2013-03-18",2,"Analytics, Logistics, Business Intelligence, Transportation, Predictive Analytics, Big Data, Shipping","11-50",4,5,"2015-10-22",380000,"Angel",380000,1067836,1067836,1,0,"","","","","",1
"6719","Trineba Technologies Inc.","Information Technology, Privacy and Security, Mobile","New York, New York, United States","Operating","","2014-01-01",NA,"Mobile, Security, Privacy, Cyber Security","1-10",4,3,"2015-01-11",250000,"Seed",250000,625000,625000,NA,NA,"","","","","",2
"6723","Tap 'n Tap","Platforms, Media and Entertainment, Software, Sales and Marketing, Mobile, Advertising","Cambridge, Massachusetts, United States","Operating","","2008-01-01",NA,"Digital Media, Mobile, Android, Mobile Advertising","11-50",1,3,"2013-07-01",0,"Series Unknown",0,2100000,2100000,2,1,"","","","","",-4
"6726","TraceWave GmbH","Hardware, Navigation and Mapping, Internet Services, Mobile","Berlin, Berlin, Germany","Operating","","2013-11-15",NA,"Internet of Things, Wireless, Indoor Positioning","1-10",2,3,"2015-02-02",102200,"Seed",102200,413400,413400,NA,NA,"","","","","",1
"6732","TopPay","Payments, Financial Services","SÃ£o Paulo, Alagoas, Brazil","Operating","","2012-09-06",NA,"Payments, Financial Services","1-10",0,3,"2014-06-01",1e+05,"Seed",1e+05,250000,250000,NA,NA,"","","","","",0
"6762","Timbuktu Labs","Platforms, Apps, Media and Entertainment, Community and Lifestyle, Software, Consumer Goods, Education, Content and Publishing, Mobile","San Francisco, California, United States","Operating","","2012-04-27",1,"Toys, Education, Parenting, Apps, iOS, Publishing","1-10",2,3,"2014-03-01",0,"Seed",0,0,0,6,0,"","","","","",0
"6766","The CareVoice","Apps, Software, Health Care, Financial Services, Mobile","Shanghai, Shanghai, China","Operating","","2014-03-01",NA,"Health Care, Health Insurance, Apps, Medical, SaaS, mHealth, Mobile","11-50",2,3,"2017-01-23",0,"Convertible Note",0,0,0,3,0,"","","","","",2
"6783","TicketBox","Commerce and Shopping, Media and Entertainment, Events, Internet Services","Ho Chi Minh City, NA - Vietnam, Vietnam","Operating","","2013-10-01",4,"Ticketing, E-Commerce Platforms","11-50",1,3,"2016-07-30",0,"Series A",0,0,0,3,1,"","","","","",1
"7233","uBeam","Hardware, Consumer Electronics, Internet Services, Mobile","Santa Monica, California, United States","Operating","","2012-01-01",57,"Consumer Electronics, Hardware, Wireless, Internet of Things","11-50",1,5,"2015-12-18",2600000,"Convertible Note",2600000,28350000,29335000,30,2,"","","","","",0
"7235","Unbxd","Commerce and Shopping, Navigation and Mapping, Software","Bangalore, Karnataka, India","Operating","","2011-10-04",35,"E-Commerce, Software, Navigation","11-50",2,4,"2016-05-05",0,"Series B",0,2e+06,2e+06,7,1,"","","","","",-1
"7236","UserIQ","Software, Sales and Marketing, Mobile","Atlanta, Georgia, United States","Operating","","2014-02-01",7,"Marketing Automation, Mobile, Developer Tools","11-50",2,3,"2016-10-31",2e+06,"Series A",2e+06,3950000,3950000,7,6,"","","","","",2
"7238","Undercover Colors","Community and Lifestyle, Design","Raleigh, North Carolina, United States","Operating","","2014-01-01",1,"Social Innovation, Fashion, Lifestyle","1-10",4,3,"2016-11-10",5500000,"Series Unknown",5500000,8190000,8190000,NA,NA,"","","","","",2
"7240","Unifysquare","Hardware, Software","Bellevue, Washington, United States","Operating","","2008-02-01",NA,"Enterprise Software, Communications Infrastructure, Collaboration","101-250",1,6,"2016-07-15",3900000,"Series Unknown",3900000,33068779,34118779,7,1,"","","","","",-4
"7242","UNMADE","Manufacturing, Software, Design","London, England, United Kingdom","Operating","","2013-04-22",4,"Fashion, 3D Printing, Software","11-50",3,3,"2015-11-02",0,"Non-equity Assistance",0,3256881,3256881,11,0,"","","","","",1
"7253","Unified Computer Intelligence Corporation","Science and Engineering, Consumer Electronics, Real Estate, Data and Analytics, Software, Internet Services, Design","Toronto, Ontario, Canada","Operating","","2012-09-23",7,"Home Automation, Internet of Things, Natural Language Processing, Human Computer Interaction","1-10",4,3,"2014-03-02",1100000,"Angel",1100000,1317577,1317577,1,0,"","","","","",0
"7257","Unsocial","Apps, Software, Internet Services, Mobile","Lucerne Valley, California, United States","Closed","2013-11-01","2010-10-01",4,"Social, Mobile Apps, Web Hosting","1-10",0,3,"2012-03-30",885000,"Series Unknown",885000,935000,935000,NA,NA,"","","","","",-2
"7262","University Beyond","Software, Professional Services, Education","New York, New York, United States","Operating","","2013-10-01",5,"Education, Universities, Career Planning, EdTech","1-10",5,4,"2016-03-15",0,"Seed",0,425000,425000,4,0,"","","","","",1
"7341","Voonik","Apps, Commerce and Shopping, Community and Lifestyle, Software, Internet Services, Design","Bengaluru, Karnataka, India","Operating","","2013-01-17",83,"Lifestyle, Apps, Online Portals, Fashion, E-Commerce","11-50",2,5,"2017-02-08",6e+06,"Series B",6e+06,31500000,34500000,11,3,"","","","","",1
"7342","Viva Republica","Software, Payments, Financial Services","Seoul, Seoul-t'ukpyolsi, South Korea","Operating","","2013-08-02",4,"FinTech, Transaction Processing, Software","11-50",1,4,"2017-03-09",4.8e+07,"Series C",4.8e+07,77200000,77200000,8,2,"","","","","",1
"7343","ViSenze","Science and Engineering, Data and Analytics, Software, Internet Services","Singapore, Central Region, Singapore","Operating","","2012-08-01",18,"Machine Learning, Image Recognition, Artificial Intelligence, Visual Search, SaaS","11-50",4,3,"2016-09-16",10500000,"Series B",10500000,1.4e+07,1.4e+07,11,4,"","","","","",0
"7350","Voxel8","Hardware, Media and Entertainment, Consumer Electronics, Software, Content and Publishing","Somerville, Massachusetts, United States","Operating","","2013-01-01",15,"3D Technology, Electronics, Printing","11-50",5,3,"2015-07-24",1.2e+07,"Series A",1.2e+07,1.2e+07,12050000,6,2,"","","","","",1
"7351","Velo Labs (DBA Lattis)","Energy, Hardware, Software, Transportation, Internet Services","San Francisco, California, United States","Operating","","2013-02-01",8,"Internet of Things, Energy, Hardware, Software, Transportation, Collaborative Consumption","11-50",1,4,"2017-01-01",1e+06,"Seed",1e+06,2600000,2600000,3,1,"","","","","",1
"7352","VECTARY","Hardware, Software, Internet Services","United Kingdom, Europe","Operating","","2014-10-01",7,"Productivity Tools, 3D Technology, Internet","11-50",2,3,"2016-10-10",2500000,"Seed",2500000,2879833,2879833,2,1,"","","","","",2
